cable_name,rfs,cable_length,owners,suppliers,submarine_networks_url,submarine_cable_map_url
global-caribbean-network-gcn,2006 September,890 km,Loret Group,https://groupeloret.net/brand/global-caribbean-network/,Not Given,https://www.submarinecablemap.com/submarine-cable/global-caribbean-network-gcn
globalconnect-2-gc2,2001 August,95 km,GlobalConnect,https://www.globalconnectcarrier.com/,Not Given,https://www.submarinecablemap.com/submarine-cable/globalconnect-2-gc2
globalconnect-3-gc3,2006,19 km,GlobalConnect,https://www.globalconnectcarrier.com/,Not Given,https://www.submarinecablemap.com/submarine-cable/globalconnect-3-gc3
globalconnect-6-gc6,2019,n.a.,GlobalConnect,Hexatronic,https://globalconnectcarrier.com/,https://www.submarinecablemap.com/submarine-cable/globalconnect-6-gc6
globalconnect-denmark-sweden,1994,n.a.,GlobalConnect,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/globalconnect-denmark-sweden
globalconnect-kpn,2006,43 km,GlobalConnect,https://www.globalconnectcarrier.com/,Not Given,https://www.submarinecablemap.com/submarine-cable/globalconnect-kpn
globenet,2000 October,"23,500 km",V.tal,ASN,https://www.vtal.com/en/home/,https://www.submarinecablemap.com/submarine-cable/globenet
go-1-mediterranean-cable-system,2008 December,290 km,GO plc,ASN,https://www.go.com.mt/business,https://www.submarinecablemap.com/submarine-cable/go-1-mediterranean-cable-system
gondwana-1,2008 September,"2,151 km",OPT,ASN,https://www.opt.nc/,https://www.submarinecablemap.com/submarine-cable/gondwana-1
gondwana-2picot-2,2022 August,"1,515 km",OPT,ASN,https://www.opt.nc/,https://www.submarinecablemap.com/submarine-cable/gondwana-2picot-2
grace-hopper,2022 September,"7,191 km",Google,SubCom,https://cloud.google.com/,https://www.submarinecablemap.com/submarine-cable/grace-hopper
greenland-connect,2009 March,"4,580 km",Tusass A/S,ASN,https://www.tusass.gl/,https://www.submarinecablemap.com/submarine-cable/greenland-connect
greenland-connect-north,2017 December,680 km,Tusass A/S,ASN,https://www.tusass.gl/,https://www.submarinecablemap.com/submarine-cable/greenland-connect-north
groix-4,2022,7 km,Orange,Prysmian,Not Given,https://www.submarinecablemap.com/submarine-cable/groix-4
gtmo-1,2016,"1,528 km",U.S. Government,Xtera,Not Given,https://www.submarinecablemap.com/submarine-cable/gtmo-1
gtmo-pr,2019 April,"1,400 km",U.S. Government,Xtera,Not Given,https://www.submarinecablemap.com/submarine-cable/gtmo-pr
guadeloupe-cable-des-iles-du-sud-gcis,2020,118 km,Regional Councel of Guadeloupe,https://www.regionguadeloupe.fr/accueil/#_,Not Given,https://www.submarinecablemap.com/submarine-cable/guadeloupe-cable-des-iles-du-sud-gcis
guam-okinawa-kyushu-incheon-goki,2013 December,"4,244 km",AT&T,Xtera,http://www.att.com/,https://www.submarinecablemap.com/submarine-cable/guam-okinawa-kyushu-incheon-goki
guernsey-jersey-4,1994 January,36 km,Sure,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/guernsey-jersey-4
gulf-bridge-international-cable-systemmiddle-east-north-africa-cable-system-gbicsmena,2012 February,"5,270 km",Gulf Bridge International,SubCom,http://www.gbiinc.com/,https://www.submarinecablemap.com/submarine-cable/gulf-bridge-international-cable-systemmiddle-east-north-africa-cable-system-gbicsmena
gulf-of-california-cable,2019 Q4,250 km,Megacable,HMN Tech,https://www.megacable.com.mx/,https://www.submarinecablemap.com/submarine-cable/gulf-of-california-cable
gulf-of-mexico-fiber-optic-network,2008,"1,200 km",Tampnet,SubCom,https://www.tampnet.com/,https://www.submarinecablemap.com/submarine-cable/gulf-of-mexico-fiber-optic-network
gulf2africa-g2a,2017 December,"1,500 km",Golis Telecommunications -  Omantel -  Telesom,HMN Tech,Not Given,https://www.submarinecablemap.com/submarine-cable/gulf2africa-g2a
hachijojima-mainland,2008,n.a.,NTT,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/hachijojima-mainland
haikou-beihai-cable,1999,198 km,China Telecom,ASN,Not Given,https://www.submarinecablemap.com/submarine-cable/haikou-beihai-cable
hainan-to-hong-kong-express-h2he,2021 September,675 km,China Mobile,HMN Tech,https://www.chinamobileltd.com/en/global/home.php,https://www.submarinecablemap.com/submarine-cable/hainan-to-hong-kong-express-h2he
halaihai,2026,n.a.,Google,SubCom,https://cloud.google.com/,https://www.submarinecablemap.com/submarine-cable/halaihai
hannibal-system,2009 October,178 km,Tunisia Telecom,HMN Tech,http://www.tunisietelecom.tn/,https://www.submarinecablemap.com/submarine-cable/hannibal-system
hantru1-cable-system,2010 March,"2,917 km",Federated States of Micronesia Telecommunications Cable Corporation (FSMTCC) -  Hannon Armstrong -  Marshall Islands Telecommunications Authority,SubCom,Not Given,https://www.submarinecablemap.com/submarine-cable/hantru1-cable-system
havfrueaec-2,2020 November,"7,650 km",Aqua Comms -  Bulk -  Google -  Meta,SubCom,Not Given,https://www.submarinecablemap.com/submarine-cable/havfrueaec-2
havhingstenceltixconnect-2-cc-2,2022 March,301 km,Aqua Comms -  Bulk -  Meta,ASN,Not Given,https://www.submarinecablemap.com/submarine-cable/havhingstenceltixconnect-2-cc-2
havhingstennorth-sea-connect-nsc,2022 March,661 km,Aqua Comms -  Bulk -  Meta,ASN,Not Given,https://www.submarinecablemap.com/submarine-cable/havhingstennorth-sea-connect-nsc
havsil,2022 March,120 km,Bulk,https://bulk.no/,Not Given,https://www.submarinecablemap.com/submarine-cable/havsil
hawaii-inter-island-cable-system-hics,1994 July,479 km,Hawaiian Telcom,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/hawaii-inter-island-cable-system-hics
hawaii-island-fibre-network-hifn,1997 June,529 km,Hawaiian Telcom -  Lumen,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/hawaii-island-fibre-network-hifn
hawaiian-islands-fiber-link-hifl,2026 December,675 km,Ocean Networks -  University of Hawai’i,https://www.oceannetworks.com/,Not Given,https://www.submarinecablemap.com/submarine-cable/hawaiian-islands-fiber-link-hifl
hawaiki,2018 July,"14,000 km",BW Digital,SubCom,https://www.bw-digital.com/,https://www.submarinecablemap.com/submarine-cable/hawaiki
hawaiki-nui-1,2027,"10,000 km",BW Digital,ASN,https://www.bw-digital.com/,https://www.submarinecablemap.com/submarine-cable/hawaiki-nui-1
hawk,2011,"3,400 km",Global Cloud Xchange,Fujitsu,https://subsea.gcxworld.com/,https://www.submarinecablemap.com/submarine-cable/hawk
hdr1,n.a.,n.a.,Bell Canada,https://www.bce.ca/,Not Given,https://www.submarinecablemap.com/submarine-cable/hdr1
hdr2,n.a.,n.a.,Bell Canada,https://www.bce.ca/,Not Given,https://www.submarinecablemap.com/submarine-cable/hdr2
high-capacity-undersea-guernsey-optical-fibre-hugo,2007,425 km,Sure -  Vodafone,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/high-capacity-undersea-guernsey-optical-fibre-hugo
hokkaido-akita-cable,2023 Q4,770 km,KDDI -  NTT -  Rakuten -  Softbank Corp,NEC,Not Given,https://www.submarinecablemap.com/submarine-cable/hokkaido-akita-cable
hokkaido-rebun-rishiri,2011,64 km,NTT,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/hokkaido-rebun-rishiri
hokkaido-sakhalin-cable-system-hscs,2008 July,570 km,NTT -  TTK,NEC,Not Given,https://www.submarinecablemap.com/submarine-cable/hokkaido-sakhalin-cable-system-hscs
honomoana,2026,"15,215 km",Google,SubCom,https://cloud.google.com/,https://www.submarinecablemap.com/submarine-cable/honomoana
honotua,2010 September,"4,805 km",OPT French Polynesia,ASN,http://www.opt.pf/,https://www.submarinecablemap.com/submarine-cable/honotua
hronn,2022 September,270 km,Shefa,https://www.shefa.fo/cables/,Not Given,https://www.submarinecablemap.com/submarine-cable/hronn
humboldt,2026,n.a.,Google,SubCom,https://cloud.google.com/,https://www.submarinecablemap.com/submarine-cable/humboldt
i2i-cable-network-i2icn,2002 April,"3,200 km",Bharti Airtel,ASN,http://www.airtel.in/,https://www.submarinecablemap.com/submarine-cable/i2i-cable-network-i2icn
ice-iv,2027 Q4,"11,000 km",Etisalat UAE -  Telecom Egypt -  Telin,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/ice-iv
iceni,2024,n.a.,BT,SubCom,Not Given,https://www.submarinecablemap.com/submarine-cable/iceni
imewe,2010 December,"12,091 km",Bharti Airtel -  Etisalat UAE -  Ogero -  Orange -  Pakistan Telecommunications Company Ltd. -  Saudi Telecom -  Sparkle -  Tata Communications -  Telecom Egypt,ASN -  NEC,https://imewecable.com/,https://www.submarinecablemap.com/submarine-cable/imewe
india-asia-xpress-iax,2024 Q4,"5,791 km",China Mobile -  Reliance Jio Infocomm,SubCom,Not Given,https://www.submarinecablemap.com/submarine-cable/india-asia-xpress-iax
india-europe-xpress-iex,2025,"9,775 km",China Mobile -  Reliance Jio Infocomm,SubCom,Not Given,https://www.submarinecablemap.com/submarine-cable/india-europe-xpress-iex
indigo-central,2019 May,"4,850 km",Australia’s Academic and Research Network (AARNET) -  Google -  Indosat Ooredoo -  Singtel Optus -  Superloop,ASN,Not Given,https://www.submarinecablemap.com/submarine-cable/indigo-central
indigo-west,2019 May,"4,600 km",Australia’s Academic and Research Network (AARNET) -  Google -  Indosat Ooredoo -  Singtel -  Superloop -  Telstra,ASN,Not Given,https://www.submarinecablemap.com/submarine-cable/indigo-west
